Date,AQI
2019-11-30 00:00:00+00:00,65
2019-12-01 00:00:00+00:00,74
2019-12-02 00:00:00+00:00,61
2019-12-03 00:00:00+00:00,59
2019-12-04 00:00:00+00:00,68
2019-12-05 00:00:00+00:00,63
2019-12-06 00:00:00+00:00,69
2019-12-07 00:00:00+00:00,74
2019-12-08 00:00:00+00:00,90
2019-12-09 00:00:00+00:00,85
2019-12-10 00:00:00+00:00,87
2019-12-11 00:00:00+00:00,96
2019-12-12 00:00:00+00:00,77
2019-12-13 00:00:00+00:00,64
2019-12-14 00:00:00+00:00,43
2019-12-15 00:00:00+00:00,68
2019-12-16 00:00:00+00:00,59
2019-12-17 00:00:00+00:00,70
2019-12-18 00:00:00+00:00,66
2019-12-19 00:00:00+00:00,79
2019-12-20 00:00:00+00:00,92
2019-12-21 00:00:00+00:00,88
2019-12-22 00:00:00+00:00,63
2019-12-23 00:00:00+00:00,55
2019-12-24 00:00:00+00:00,63
2019-12-25 00:00:00+00:00,79
2019-12-26 00:00:00+00:00,81
2019-12-27 00:00:00+00:00,81
2019-12-27 00:00:00+00:00,81
2019-12-27 00:00:00+00:00,81
2019-12-27 00:00:00+00:00,81
2019-12-31 00:00:00+00:00,80
2020-01-01 00:00:00+00:00,81
2020-01-02 00:00:00+00:00,86
2020-01-03 00:00:00+00:00,74
2020-01-04 00:00:00+00:00,79
2020-01-05 00:00:00+00:00,83
2020-01-05 00:00:00+00:00,83
2020-01-07 00:00:00+00:00,77
2020-01-08 00:00:00+00:00,72
2020-01-09 00:00:00+00:00,67
2020-01-10 00:00:00+00:00,60
2020-01-11 00:00:00+00:00,61
2020-01-12 00:00:00+00:00,51
2020-01-13 00:00:00+00:00,50
2020-01-14 00:00:00+00:00,84
2020-01-15 00:00:00+00:00,42
2020-01-16 00:00:00+00:00,56
2020-01-17 00:00:00+00:00,67
2020-01-18 00:00:00+00:00,86
2020-01-19 00:00:00+00:00,75
2020-01-20 00:00:00+00:00,67
2020-01-21 00:00:00+00:00,65
2020-01-22 00:00:00+00:00,68
2020-01-23 00:00:00+00:00,71
2020-01-24 00:00:00+00:00,64
2020-01-25 00:00:00+00:00,62
2020-01-26 00:00:00+00:00,79
2020-01-27 00:00:00+00:00,107
